nr,x,y,omschrijving,geschatte precisie,type,url
12,78984.918,458617.899,eerste schoorsteen paviljoen von Vied,50,geconstrueerd,
7,80991.87,459331.95,de watertoren,10,geconstrueerd,
29,81069.721,455524.337,RK kerk Jacob de Meerdere,50,geconstrueerd,
28,81140.174,455412.745,de klooster kerk,100,geconstrueerd,
27,81543.624,454767.628,de nieuwe kerk aan het Spui,50,geconstrueerd,
26,80651.662,455503.206,torentje koninklijke stallen,50,geconstrueerd,
25,80922.751,454893.974,Grote of st. Jacobskerk,50,geconstrueerd,
,,,3e RK kerk aan de Scheveningseweg,,,
21,78654.529,458208.215,oude kerk Keizerstraat,50,geconstrueerd,
20,78341.845,457912.53,vuurtoren,10,geconstrueerd,
19,78449.738,458103.32,gedenknaald,10,geconstrueerd,
,86892.648,468484.002,vuurtoren katwijk,100,uit BGT,https://nl.wikipedia.org/wiki/Vuurbaak_van_Katwijk_aan_Zee
